id,cluster,set,question
1,Sleep,A,"I fall asleep easily within 30 minutes of going to bed."
2,Sleep,A,"I sleep through the night without waking up."
3,Sleep,A,"I feel well-rested and refreshed when I wake up in the morning."
4,Sleep,A,"I maintain a consistent sleep schedule, even on weekends."
5,Sleep,A,"My dreams are generally pleasant and don't disturb my sleep."
6,Sleep,A,"I wake up naturally at the right time without needing an alarm."
7,Sleep,A,"I feel energized and alert during the day after a night's sleep."
8,Sleep,A,"I can easily relax and quiet my mind when it's time to sleep."
9,Sleep,A,"I get an adequate amount of sleep each night (7-9 hours for adults)."
10,Sleep,A,"My bedroom environment promotes good sleep (quiet, dark, comfortable)."
11,Sleep,B,"I often find myself lying awake for long periods before falling asleep."
12,Sleep,B,"I frequently wake up during the night and have trouble getting back to sleep."
13,Sleep,B,"I often feel groggy and tired even after a full night's sleep."
14,Sleep,B,"My sleep schedule is irregular and varies significantly day to day."
15,Sleep,B,"I have vivid or disturbing dreams that affect my sleep quality."
16,Sleep,B,"I rely on an alarm to wake up and often feel the need to snooze."
17,Sleep,B,"I feel drowsy and lack energy during the day despite sleeping."
18,Sleep,B,"Racing thoughts or worries often prevent me from falling asleep."
19,Sleep,B,"I regularly get less sleep than I need to feel rested."
20,Sleep,B,"Factors in my bedroom (noise, light, temperature) often disrupt my sleep."
21,Work,A,"I feel capable of handling my workload effectively."
22,Work,A,"I find my work engaging and meaningful."
23,Work,A,"I can maintain focus and concentration throughout my workday."
24,Work,A,"I feel confident in my ability to meet work deadlines."
25,Work,A,"I have a good relationship with my colleagues and supervisors."
26,Work,A,"I feel my skills and abilities are well-utilized in my job."
27,Work,A,"I can easily prioritize tasks and manage my time at work."
28,Work,A,"I feel recognized and appreciated for my contributions at work."
29,Work,A,"I can maintain a healthy work-life balance."
30,Work,A,"I feel motivated to start my workday."
31,Work,B,"My job responsibilities often overwhelm me."
32,Work,B,"I find my work boring or unfulfilling."
33,Work,B,"I struggle to stay focused and productive during work hours."
34,Work,B,"I frequently worry about missing deadlines or underperforming at work."
35,Work,B,"I often experience conflicts or tension with coworkers or superiors."
36,Work,B,"I feel my talents and skills are underutilized in my current role."
37,Work,B,"I often feel scattered and have trouble managing my workload."
38,Work,B,"I feel undervalued or unappreciated at my workplace."
39,Work,B,"My work often interferes with my personal life and relationships."
40,Work,B,"I dread going to work most days."
41,Physical Health,A,"I maintain a balanced and nutritious diet most days."
42,Physical Health,A,"I engage in regular physical exercise or activity."
43,Physical Health,A,"I rarely experience unexplained aches or pains in my body."
44,Physical Health,A,"My digestion functions well without frequent discomfort."
45,Physical Health,A,"I feel physically resilient and rarely get sick."
46,Physical Health,A,"I recover quickly when I do catch an illness."
47,Physical Health,A,"I feel satisfied with my overall physical health."
48,Physical Health,A,"I have a good appetite and enjoy my meals."
49,Physical Health,A,"I feel my body is capable of handling daily physical tasks with ease."
50,Physical Health,A,"I trust that my healthcare providers understand and address my concerns."
51,Physical Health,B,"I often rely on unhealthy food choices or irregular eating patterns."
52,Physical Health,B,"I struggle to find time or motivation for regular physical activity."
53,Physical Health,B,"I frequently experience unexplained physical discomfort or pain."
54,Physical Health,B,"I often have digestive issues or gastrointestinal discomfort."
55,Physical Health,B,"I seem to catch colds or infections more frequently than others."
56,Physical Health,B,"It takes me longer than usual to recover from minor illnesses."
57,Physical Health,B,"I feel physically unwell without a clear medical explanation."
58,Physical Health,B,"I've experienced significant changes in my appetite or weight."
59,Physical Health,B,"Simple physical tasks often feel more challenging than they should."
60,Physical Health,B,"I feel frustrated that medical professionals can't fully address my health concerns."
61,Mental Health,A,"I generally feel optimistic about my future."
62,Mental Health,A,"I can manage my worries and anxieties effectively."
63,Mental Health,A,"I maintain emotional stability most of the time."
64,Mental Health,A,"I enjoy spending time with others and feel socially connected."
65,Mental Health,A,"I find meaning and purpose in my daily life."
66,Mental Health,A,"I feel that life is worth living."
67,Mental Health,A,"I can see the good in people and society overall."
68,Mental Health,A,"I can experience joy and pleasure in my daily activities."
69,Mental Health,A,"I feel capable of handling life's challenges."
70,Mental Health,A,"I have a positive self-image and sense of self-worth."
71,Mental Health,B,"I often feel sad, empty, or hopeless about my future."
72,Mental Health,B,"I frequently experience overwhelming anxiety or panic."
73,Mental Health,B,"I have difficulty controlling my anger or experience frequent emotional outbursts."
74,Mental Health,B,"I feel isolated and disconnected from others."
75,Mental Health,B,"I struggle to find meaning or purpose in my life."
76,Mental Health,B,"I have thoughts that I would be better off not being alive."
77,Mental Health,B,"I often feel cynical or negative about people and society."
78,Mental Health,B,"I find it hard to enjoy things that I used to find pleasurable."
79,Mental Health,B,"I feel overwhelmed by life's challenges and unable to cope."
80,Mental Health,B,"I struggle with feelings of worthlessness or excessive guilt."
81,Energy and Fatigue,A,"I have enough energy to complete my daily tasks without feeling exhausted."
82,Energy and Fatigue,A,"I can maintain a consistent level of activity throughout the day."
83,Energy and Fatigue,A,"I feel motivated to engage in regular exercise or physical activities."
84,Energy and Fatigue,A,"I wake up feeling refreshed and ready to start my day."
85,Energy and Fatigue,A,"I can focus on tasks without my eyes feeling strained or tired."
86,Energy and Fatigue,A,"I rarely need caffeine or other stimulants to get through the day."
87,Energy and Fatigue,A,"I have enough energy for both work and leisure activities."
88,Energy and Fatigue,A,"I can easily motivate myself to start and complete tasks."
89,Energy and Fatigue,A,"I feel physically energized even after a full day of activities."
90,Energy and Fatigue,A,"I can engage in social activities after work without feeling completely drained."
91,Energy and Fatigue,B,"I often feel so exhausted that I collapse on the couch after work."
92,Energy and Fatigue,B,"My energy levels fluctuate dramatically throughout the day."
93,Energy and Fatigue,B,"I struggle to find the energy or motivation to exercise regularly."
94,Energy and Fatigue,B,"I wake up feeling tired, even after a full night's sleep."
95,Energy and Fatigue,B,"My eyes often feel strained or tired, making it hard to focus."
96,Energy and Fatigue,B,"I rely heavily on caffeine or other stimulants to function throughout the day."
97,Energy and Fatigue,B,"After work, I have little to no energy left for other activities."
98,Energy and Fatigue,B,"I often procrastinate or avoid tasks due to lack of energy."
99,Energy and Fatigue,B,"Simple physical tasks leave me feeling unusually tired."
100,Energy and Fatigue,B,"I frequently cancel social plans because I feel too fatigued."
101,Social Relationships,A,"I actively seek out opportunities to spend time with others."
102,Social Relationships,A,"I find social interactions energizing and enjoyable."
103,Social Relationships,A,"I look forward to meeting new people and socializing."
104,Social Relationships,A,"I often initiate or organize group activities with friends or colleagues."
105,Social Relationships,A,"I make a consistent effort to connect with several people each week."
106,Social Relationships,A,"My relationships feel deep, trusting, and secure."
107,Social Relationships,A,"I feel confident that I can rely on others for support when needed."
108,Social Relationships,A,"I maintain a healthy balance between my social life and alone time."
109,Social Relationships,A,"I feel comfortable opening up to others about my thoughts and feelings."
110,Social Relationships,A,"I actively contribute to and participate in my social circles."
111,Social Relationships,B,"I often avoid social situations and prefer to be alone."
112,Social Relationships,B,"I find spending time with friends to be emotionally draining."
113,Social Relationships,B,"The thought of social interactions often fills me with dread."
114,Social Relationships,B,"I rarely initiate social plans and tend to decline invitations."
